Scenario,Species,Region,Inventory Sector,CEDS Fuel,GAINS Sector,Sectoral Emissions Fraction,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Residential,liquid-fuel-plus-natural-gas,DOM-LPG-[PJ],0.06648439929180579,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Residential,liquid-fuel-plus-natural-gas,DOM-MD-[PJ],0.0037113379191942458,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Residential,liquid-fuel-plus-natural-gas,DOM_LIGHT-GSL-[PJ],0.20013989789416511,0.02,0.02,0.02,0.02,0.02,0.02,0.02
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Residential,solid-biofuel,DOM-OS1-[PJ],1.0,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Shipping,liquid-fuel-plus-natural-gas,TRA_OTS_L-HF-[PJ],1.0,0.00098,0.00096752,0.00095504,0.000911312,0.000911312,0.000911312,0.000911312
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_HDB-MD-[PJ],0.009846164479751007,0.00029,0.000276,0.000262,0.00027400000000000005,0.000312,0.00041,0.00045
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_HDT-GAS-[PJ],0.028483553113126506,0.01,0.01,0.01,0.01,0.01,0.01,0.01
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_HDT-LPG-[PJ],0.0009127530599591448,0.00026000000000000003,0.00026000000000000003,0.00026000000000000003,0.00026000000000000003,0.00026000000000000003,0.00026000000000000003,0.00026000000000000003
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_HDT-MD-[PJ],0.11996305918972214,0.00029,0.000276,0.000262,0.00027400000000000005,0.000312,0.00041,0.00045
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_LD2-GSL-[PJ],0.003201797924490385,0.0008699999999999999,0.0008699999999999999,0.0008699999999999999,0.0008699999999999999,0.0008699999999999999,0.0008699999999999999,0.0008699999999999999
