Species,Sector,Region,Fuel,2014_Proportion
ALK4_butanes,ALK4_butanes_slv,JPN,process,0.0
ALK4_butanes,ALK4_butanes_slv,ANZ,process,0.0
ALK4_butanes,ALK4_butanes_slv,EUR,process,0.0
ALK4_butanes,ALK4_butanes_slv,ROE,process,0.0
ALK4_butanes,ALK4_butanes_slv,RUS,process,0.0
ALK4_butanes,ALK4_butanes_slv,ASI,process,0.0
ALK4_butanes,ALK4_butanes_slv,CHN,process,0.0
ALK4_butanes,ALK4_butanes_slv,IND,process,0.0
ALK4_butanes,ALK4_butanes_slv,BRA,process,0.0
ALK4_butanes,ALK4_butanes_slv,AFR,process,0.0
ALK4_butanes,ALK4_butanes_slv,MES,process,0.0
ALK4_butanes,ALK4_butanes_slv,LAM,process,0.0
ALK4_butanes,ALK4_butanes_slv,REA,process,0.0
ALK4_butanes,ALK4_butanes_slv,KOR,process,0.0
ALK4_butanes,ALK4_butanes_slv,IDZ,process,0.0
ALK4_butanes,ALK4_butanes_road,USA,process,0.0
ALK4_butanes,ALK4_butanes_road,CAN,process,0.0
ALK4_butanes,ALK4_butanes_road,MEX,process,0.0
ALK4_butanes,ALK4_butanes_road,JPN,process,0.0
ALK4_butanes,ALK4_butanes_road,ANZ,process,0.0
ALK4_butanes,ALK4_butanes_road,EUR,process,0.0
ALK4_butanes,ALK4_butanes_road,ROE,process,0.0
ALK4_butanes,ALK4_butanes_road,RUS,process,0.0
ALK4_butanes,ALK4_butanes_road,ASI,process,0.0
ALK4_butanes,ALK4_butanes_road,CHN,process,0.0
ALK4_butanes,ALK4_butanes_road,IND,process,0.0
ALK4_butanes,ALK4_butanes_road,BRA,process,0.0
ALK4_butanes,ALK4_butanes_road,AFR,process,0.0
ALK4_butanes,ALK4_butanes_road,MES,process,0.0
ALK4_butanes,ALK4_butanes_road,LAM,process,0.0
ALK4_butanes,ALK4_butanes_road,REA,process,0.0
ALK4_butanes,ALK4_butanes_road,KOR,process,0.0
ALK4_butanes,ALK4_butanes_road,IDZ,process,0.0
ALK4_butanes,ALK4_butanes_wst,USA,process,1.0
ALK4_butanes,ALK4_butanes_wst,CAN,process,1.0
ALK4_butanes,ALK4_butanes_wst,MEX,process,1.0
ALK4_butanes,ALK4_butanes_wst,JPN,process,1.0
ALK4_butanes,ALK4_butanes_wst,ANZ,process,1.0
ALK4_butanes,ALK4_butanes_wst,EUR,process,1.0
ALK4_butanes,ALK4_butanes_wst,ROE,process,1.0
ALK4_butanes,ALK4_butanes_wst,RUS,process,1.0
ALK4_butanes,ALK4_butanes_wst,ASI,process,1.0
ALK4_butanes,ALK4_butanes_wst,CHN,process,1.0
ALK4_butanes,ALK4_butanes_wst,IND,process,1.0
ALK4_butanes,ALK4_butanes_wst,BRA,process,1.0
ALK4_butanes,ALK4_butanes_wst,AFR,process,1.0
ALK4_butanes,ALK4_butanes_wst,MES,process,1.0
ALK4_butanes,ALK4_butanes_wst,LAM,process,1.0
ALK4_butanes,ALK4_butanes_wst,REA,process,1.0
ALK4_butanes,ALK4_butanes_wst,KOR,process,1.0
ALK4_butanes,ALK4_butanes_wst,IDZ,process,1.0
ALK4_hexanes,ALK4_hexanes_agr,USA,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,CAN,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,MEX,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,JPN,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,ANZ,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,EUR,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,ROE,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,RUS,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,ASI,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,CHN,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,IND,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,BRA,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,AFR,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,MES,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,LAM,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,REA,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,KOR,process,0.0
ALK4_hexanes,ALK4_hexanes_agr,IDZ,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,USA,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,CAN,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,MEX,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,JPN,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,ANZ,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,EUR,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,ROE,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,RUS,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,ASI,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,CHN,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,IND,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,BRA,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,AFR,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,MES,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,LAM,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,REA,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,KOR,process,0.0
ALK4_hexanes,ALK4_hexanes_rcoc,IDZ,process,0.0
ALK4_hexanes,ALK4_hexanes_ene,USA,process,0.9890827949190322
ALK4_hexanes,ALK4_hexanes_ene,CAN,process,0.9605334523278343
ALK4_hexanes,ALK4_hexanes_ene,MEX,process,0.9708676948452756
ALK4_hexanes,ALK4_hexanes_ene,JPN,process,0.8568465662054303
ALK4_hexanes,ALK4_hexanes_ene,ANZ,process,0.8792703113214788
ALK4_hexanes,ALK4_hexanes_ene,EUR,process,0.9213777697676923
ALK4_hexanes,ALK4_hexanes_ene,ROE,process,0.9514862342006561
ALK4_hexanes,ALK4_hexanes_ene,RUS,process,0.9487119599062407
ALK4_hexanes,ALK4_hexanes_ene,ASI,process,0.9885782036185482
ALK4_hexanes,ALK4_hexanes_ene,CHN,process,0.9844154526442614
ALK4_hexanes,ALK4_hexanes_ene,IND,process,0.9304732838562213
ALK4_hexanes,ALK4_hexanes_ene,BRA,process,0.9967166176434226
ALK4_hexanes,ALK4_hexanes_ene,AFR,process,0.9992599543416412
ALK4_hexanes,ALK4_hexanes_ene,MES,process,0.9908403089362735
ALK4_hexanes,ALK4_hexanes_ene,LAM,process,0.9917795200850563
ALK4_hexanes,ALK4_hexanes_ene,REA,process,0.9932087326219
ALK4_hexanes,ALK4_hexanes_ene,KOR,process,0.9495355472605286
ALK4_hexanes,ALK4_hexanes_ene,IDZ,process,0.9927612969014756
ALK4_hexanes,ALK4_hexanes_ind,USA,process,0.7647837650710486
ALK4_hexanes,ALK4_hexanes_ind,CAN,process,0.43639937657954586
ALK4_hexanes,ALK4_hexanes_ind,MEX,process,0.5598967785366293
ALK4_hexanes,ALK4_hexanes_ind,JPN,process,0.5988001496405956
ALK4_hexanes,ALK4_hexanes_ind,ANZ,process,0.44058473055591457
ALK4_hexanes,ALK4_hexanes_ind,EUR,process,0.8153013389645737
ALK4_hexanes,ALK4_hexanes_ind,ROE,process,0.45172935617350657
ALK4_hexanes,ALK4_hexanes_ind,RUS,process,0.4892091887467714
ALK4_hexanes,ALK4_hexanes_ind,ASI,process,0.49495502935055025
ALK4_hexanes,ALK4_hexanes_ind,CHN,process,0.3608693984592061
ALK4_hexanes,ALK4_hexanes_ind,IND,process,0.19587798930193034
ALK4_hexanes,ALK4_hexanes_ind,BRA,process,0.21241642469198846
ALK4_hexanes,ALK4_hexanes_ind,AFR,process,0.15115096842600714
ALK4_hexanes,ALK4_hexanes_ind,MES,process,0.6146888281821066
ALK4_hexanes,ALK4_hexanes_ind,LAM,process,0.25562445703228287
ALK4_hexanes,ALK4_hexanes_ind,REA,process,0.1285643561151401
ALK4_hexanes,ALK4_hexanes_ind,KOR,process,0.9564405710904392
ALK4_hexanes,ALK4_hexanes_ind,IDZ,process,0.36434538917705284
ALK4_hexanes,ALK4_hexanes_nrtr,USA,process,0.0
ALK4_hexanes,ALK4_hexanes_nrtr,CAN,process,0.0
ALK4_hexanes,ALK4_hexanes_nrtr,MEX,process,0.0
