Species,Fuel,Sector,Region,2014
ALD2,total-coal,ALD2_slv,IDZ,0.0
ALD2,total-coal,ALD2_wst,USA,0.0
ALD2,total-coal,ALD2_wst,CAN,0.0
ALD2,total-coal,ALD2_wst,MEX,0.0
ALD2,total-coal,ALD2_wst,JPN,0.0
ALD2,total-coal,ALD2_wst,ANZ,0.0
ALD2,total-coal,ALD2_wst,EUR,0.0
ALD2,total-coal,ALD2_wst,ROE,0.0
ALD2,total-coal,ALD2_wst,RUS,0.0
ALD2,total-coal,ALD2_wst,ASI,0.0
ALD2,total-coal,ALD2_wst,CHN,0.0
ALD2,total-coal,ALD2_wst,IND,0.0
ALD2,total-coal,ALD2_wst,BRA,0.0
ALD2,total-coal,ALD2_wst,AFR,0.0
ALD2,total-coal,ALD2_wst,MES,0.0
ALD2,total-coal,ALD2_wst,LAM,0.0
ALD2,total-coal,ALD2_wst,REA,0.0
ALD2,total-coal,ALD2_wst,KOR,0.0
ALD2,total-coal,ALD2_wst,IDZ,0.0
ALD2,solid-biofuel,ALD2_agr,USA,0.0
ALD2,solid-biofuel,ALD2_agr,CAN,0.0
ALD2,solid-biofuel,ALD2_agr,MEX,0.0
ALD2,solid-biofuel,ALD2_agr,JPN,0.0
ALD2,solid-biofuel,ALD2_agr,ANZ,0.0
ALD2,solid-biofuel,ALD2_agr,EUR,0.0
ALD2,solid-biofuel,ALD2_agr,ROE,0.0
ALD2,solid-biofuel,ALD2_agr,RUS,0.0
ALD2,solid-biofuel,ALD2_agr,ASI,0.0
ALD2,solid-biofuel,ALD2_agr,CHN,0.0
ALD2,solid-biofuel,ALD2_agr,IND,0.0
ALD2,solid-biofuel,ALD2_agr,BRA,0.0
ALD2,solid-biofuel,ALD2_agr,AFR,0.0
ALD2,solid-biofuel,ALD2_agr,MES,0.0
ALD2,solid-biofuel,ALD2_agr,LAM,0.0
ALD2,solid-biofuel,ALD2_agr,REA,0.0
ALD2,solid-biofuel,ALD2_agr,KOR,0.0
ALD2,solid-biofuel,ALD2_agr,IDZ,0.0
ALD2,solid-biofuel,ALD2_ene,USA,7.945475681898657e-06
ALD2,solid-biofuel,ALD2_ene,CAN,4.011534008051584e-05
ALD2,solid-biofuel,ALD2_ene,MEX,1.6765211940445262e-05
ALD2,solid-biofuel,ALD2_ene,JPN,3.7304864102631334e-05
ALD2,solid-biofuel,ALD2_ene,ANZ,1.328104827961954e-07
ALD2,solid-biofuel,ALD2_ene,EUR,8.742188323339186e-05
ALD2,solid-biofuel,ALD2_ene,ROE,8.023449591532742e-06
ALD2,solid-biofuel,ALD2_ene,RUS,1.0842093614093117e-05
ALD2,solid-biofuel,ALD2_ene,ASI,6.702883174299381e-05
ALD2,solid-biofuel,ALD2_ene,CHN,1.1479889461078394e-05
ALD2,solid-biofuel,ALD2_ene,IND,3.288001375595426e-05
ALD2,solid-biofuel,ALD2_ene,BRA,0.00015905354361002823
ALD2,solid-biofuel,ALD2_ene,AFR,1.332748629571556e-05
ALD2,solid-biofuel,ALD2_ene,MES,5.852877894088841e-09
ALD2,solid-biofuel,ALD2_ene,LAM,0.00016564298097753209
ALD2,solid-biofuel,ALD2_ene,REA,9.588292302484995e-07
ALD2,solid-biofuel,ALD2_ene,KOR,2.443554982854427e-06
ALD2,solid-biofuel,ALD2_ene,IDZ,8.954383764487474e-06
ALD2,solid-biofuel,ALD2_ind,USA,3.0950074781236643e-05
ALD2,solid-biofuel,ALD2_ind,CAN,2.2371582788757292e-05
ALD2,solid-biofuel,ALD2_ind,MEX,4.336492938770541e-05
ALD2,solid-biofuel,ALD2_ind,JPN,5.9279725561882466e-05
ALD2,solid-biofuel,ALD2_ind,ANZ,6.312383245680135e-06
ALD2,solid-biofuel,ALD2_ind,EUR,0.00016441221614441282
ALD2,solid-biofuel,ALD2_ind,ROE,7.47144193215737e-06
ALD2,solid-biofuel,ALD2_ind,RUS,1.528727862825218e-05
ALD2,solid-biofuel,ALD2_ind,ASI,0.0010366102070336917
ALD2,solid-biofuel,ALD2_ind,CHN,5.238415698359028e-07
ALD2,solid-biofuel,ALD2_ind,IND,0.0005641256040557967
ALD2,solid-biofuel,ALD2_ind,BRA,0.0026947576317459614
ALD2,solid-biofuel,ALD2_ind,AFR,0.0019244554346692117
ALD2,solid-biofuel,ALD2_ind,MES,3.2179692864769538e-06
ALD2,solid-biofuel,ALD2_ind,LAM,0.0019826649070517704
ALD2,solid-biofuel,ALD2_ind,REA,0.0024700108804818735
ALD2,solid-biofuel,ALD2_ind,KOR,3.3144853008185627e-06
ALD2,solid-biofuel,ALD2_ind,IDZ,0.0003642740546660092
ALD2,solid-biofuel,ALD2_nrtr,USA,0.0
ALD2,solid-biofuel,ALD2_nrtr,CAN,0.0
ALD2,solid-biofuel,ALD2_nrtr,MEX,0.0
ALD2,solid-biofuel,ALD2_nrtr,JPN,0.0
ALD2,solid-biofuel,ALD2_nrtr,ANZ,0.0
ALD2,solid-biofuel,ALD2_nrtr,EUR,2.0093556967187924e-08
ALD2,solid-biofuel,ALD2_nrtr,ROE,5.043443923754425e-09
ALD2,solid-biofuel,ALD2_nrtr,RUS,4.356683611601473e-11
ALD2,solid-biofuel,ALD2_nrtr,ASI,0.0
ALD2,solid-biofuel,ALD2_nrtr,CHN,0.0
ALD2,solid-biofuel,ALD2_nrtr,IND,0.0
ALD2,solid-biofuel,ALD2_nrtr,BRA,0.0
ALD2,solid-biofuel,ALD2_nrtr,AFR,0.0
ALD2,solid-biofuel,ALD2_nrtr,MES,1.3475225098637803e-10
ALD2,solid-biofuel,ALD2_nrtr,LAM,0.0
ALD2,solid-biofuel,ALD2_nrtr,REA,0.0
ALD2,solid-biofuel,ALD2_nrtr,KOR,0.0
ALD2,solid-biofuel,ALD2_nrtr,IDZ,0.0
ALD2,solid-biofuel,ALD2_rcoc,USA,8.880349112528459e-05
ALD2,solid-biofuel,ALD2_rcoc,CAN,3.0154705417871924e-07
ALD2,solid-biofuel,ALD2_rcoc,MEX,6.694472712885189e-07
ALD2,solid-biofuel,ALD2_rcoc,JPN,0.0003903647050655855
ALD2,solid-biofuel,ALD2_rcoc,ANZ,9.691431311051026e-07
ALD2,solid-biofuel,ALD2_rcoc,EUR,0.0001529571956637943
ALD2,solid-biofuel,ALD2_rcoc,ROE,2.239533104092364e-05
ALD2,solid-biofuel,ALD2_rcoc,RUS,4.617377864764282e-05
ALD2,solid-biofuel,ALD2_rcoc,ASI,3.485490190222959e-05
ALD2,solid-biofuel,ALD2_rcoc,CHN,5.474759665103641e-07
ALD2,solid-biofuel,ALD2_rcoc,IND,0.0009024367803816374
ALD2,solid-biofuel,ALD2_rcoc,BRA,2.6027434920233362e-05
ALD2,solid-biofuel,ALD2_rcoc,AFR,0.001321345557393205
ALD2,solid-biofuel,ALD2_rcoc,MES,4.086431687910553e-09
ALD2,solid-biofuel,ALD2_rcoc,LAM,0.0001288916106414252
ALD2,solid-biofuel,ALD2_rcoc,REA,5.213710921230035e-05
ALD2,solid-biofuel,ALD2_rcoc,KOR,2.5727705996569544e-05
ALD2,solid-biofuel,ALD2_rcoc,IDZ,2.4137557571248818e-05
ALD2,solid-biofuel,ALD2_rcoo,USA,0.008524034207882359
ALD2,solid-biofuel,ALD2_rcoo,CAN,2.8891044067538537e-05
ALD2,solid-biofuel,ALD2_rcoo,MEX,3.375440113399897e-05
ALD2,solid-biofuel,ALD2_rcoo,JPN,3.3705151644104263e-10
ALD2,solid-biofuel,ALD2_rcoo,ANZ,1.814017550045913e-08
ALD2,solid-biofuel,ALD2_rcoo,EUR,0.0013518169918292345
ALD2,solid-biofuel,ALD2_rcoo,ROE,3.2852202861519226e-05
ALD2,solid-biofuel,ALD2_rcoo,RUS,4.7578256162968764e-05
ALD2,solid-biofuel,ALD2_rcoo,ASI,2.229271246056289e-09
ALD2,solid-biofuel,ALD2_rcoo,CHN,2.6502009471037244e-07
ALD2,solid-biofuel,ALD2_rcoo,IND,5.837627364346438e-09
ALD2,solid-biofuel,ALD2_rcoo,BRA,0.001709821794175639
ALD2,solid-biofuel,ALD2_rcoo,AFR,0.0018179999819446788
ALD2,solid-biofuel,ALD2_rcoo,MES,3.1546418883820423e-09
ALD2,solid-biofuel,ALD2_rcoo,LAM,0.0007763239669097892
ALD2,solid-biofuel,ALD2_rcoo,REA,7.53275091032396e-07
ALD2,solid-biofuel,ALD2_rcoo,KOR,3.773181923614201e-06
ALD2,solid-biofuel,ALD2_rcoo,IDZ,3.6903090173455616e-11
ALD2,solid-biofuel,ALD2_rcor,USA,0.013642291898797506
ALD2,solid-biofuel,ALD2_rcor,CAN,0.009723786111770985
ALD2,solid-biofuel,ALD2_rcor,MEX,0.00801451091415494
ALD2,solid-biofuel,ALD2_rcor,JPN,0.00023001256582688896
ALD2,solid-biofuel,ALD2_rcor,ANZ,0.007001016723270511
ALD2,solid-biofuel,ALD2_rcor,EUR,0.03144534183943252
ALD2,solid-biofuel,ALD2_rcor,ROE,0.006160348138245889
ALD2,solid-biofuel,ALD2_rcor,RUS,0.005696513981442148
ALD2,solid-biofuel,ALD2_rcor,ASI,0.03173985033152382
ALD2,solid-biofuel,ALD2_rcor,CHN,0.1677364617481859
ALD2,solid-biofuel,ALD2_rcor,IND,0.25896075881318
ALD2,solid-biofuel,ALD2_rcor,BRA,0.01030554175184374
ALD2,solid-biofuel,ALD2_rcor,AFR,0.5998712748579201
ALD2,solid-biofuel,ALD2_rcor,MES,0.0014459135621718504
ALD2,solid-biofuel,ALD2_rcor,LAM,0.03218978047566404
ALD2,solid-biofuel,ALD2_rcor,REA,0.16733126007401125
ALD2,solid-biofuel,ALD2_rcor,KOR,5.01287695764714e-05
ALD2,solid-biofuel,ALD2_rcor,IDZ,0.08749988349354622
ALD2,solid-biofuel,ALD2_road,USA,0.0
ALD2,solid-biofuel,ALD2_road,CAN,0.0
ALD2,solid-biofuel,ALD2_road,MEX,0.0
ALD2,solid-biofuel,ALD2_road,JPN,0.0
ALD2,solid-biofuel,ALD2_road,ANZ,0.0
ALD2,solid-biofuel,ALD2_road,EUR,0.0
ALD2,solid-biofuel,ALD2_road,ROE,0.0
ALD2,solid-biofuel,ALD2_road,RUS,0.0
ALD2,solid-biofuel,ALD2_road,ASI,0.0
ALD2,solid-biofuel,ALD2_road,CHN,0.0
ALD2,solid-biofuel,ALD2_road,IND,0.0
ALD2,solid-biofuel,ALD2_road,BRA,0.0
ALD2,solid-biofuel,ALD2_road,AFR,0.0
ALD2,solid-biofuel,ALD2_road,MES,0.0
ALD2,solid-biofuel,ALD2_road,LAM,0.0
ALD2,solid-biofuel,ALD2_road,REA,0.0
ALD2,solid-biofuel,ALD2_road,KOR,0.0
ALD2,solid-biofuel,ALD2_road,IDZ,0.0
ALD2,solid-biofuel,ALD2_shp,USA,0.0
ALD2,solid-biofuel,ALD2_shp,CAN,0.0
ALD2,solid-biofuel,ALD2_shp,MEX,0.0
ALD2,solid-biofuel,ALD2_shp,JPN,0.0
ALD2,solid-biofuel,ALD2_shp,ANZ,0.0
ALD2,solid-biofuel,ALD2_shp,EUR,0.0
ALD2,solid-biofuel,ALD2_shp,ROE,0.0
ALD2,solid-biofuel,ALD2_shp,RUS,0.0
ALD2,solid-biofuel,ALD2_shp,ASI,0.0
ALD2,solid-biofuel,ALD2_shp,CHN,0.0
ALD2,solid-biofuel,ALD2_shp,IND,0.0
ALD2,solid-biofuel,ALD2_shp,BRA,0.0
ALD2,solid-biofuel,ALD2_shp,AFR,0.0
ALD2,solid-biofuel,ALD2_shp,MES,0.0
ALD2,solid-biofuel,ALD2_shp,LAM,0.0
ALD2,solid-biofuel,ALD2_shp,REA,0.0
ALD2,solid-biofuel,ALD2_shp,KOR,0.0
ALD2,solid-biofuel,ALD2_shp,IDZ,0.0
ALD2,solid-biofuel,ALD2_slv,USA,0.0
ALD2,solid-biofuel,ALD2_slv,CAN,0.0
ALD2,solid-biofuel,ALD2_slv,MEX,0.0
ALD2,solid-biofuel,ALD2_slv,JPN,0.0
ALD2,solid-biofuel,ALD2_slv,ANZ,0.0
ALD2,solid-biofuel,ALD2_slv,EUR,0.0
ALD2,solid-biofuel,ALD2_slv,ROE,0.0
ALD2,solid-biofuel,ALD2_slv,RUS,0.0
ALD2,solid-biofuel,ALD2_slv,ASI,0.0
ALD2,solid-biofuel,ALD2_slv,CHN,0.0
ALD2,solid-biofuel,ALD2_slv,IND,0.0
ALD2,solid-biofuel,ALD2_slv,BRA,0.0
ALD2,solid-biofuel,ALD2_slv,AFR,0.0
ALD2,solid-biofuel,ALD2_slv,MES,0.0
ALD2,solid-biofuel,ALD2_slv,LAM,0.0
ALD2,solid-biofuel,ALD2_slv,REA,0.0
ALD2,solid-biofuel,ALD2_slv,KOR,0.0
