Species,Region,Sector,2014
MEK,ASI,Agricultural Waste Burning,0.00631801608347477
MEK,CHN,Agricultural Waste Burning,0.028012409295782883
MEK,IND,Agricultural Waste Burning,0.007280980142362348
MEK,BRA,Agricultural Waste Burning,0.01117401181422311
MEK,AFR,Agricultural Waste Burning,0.06846321735164841
MEK,MES,Agricultural Waste Burning,0.00035474364496391005
MEK,LAM,Agricultural Waste Burning,0.010957649440089414
MEK,REA,Agricultural Waste Burning,0.009708100148089455
MEK,KOR,Agricultural Waste Burning,0.00023622157019559438
MEK,IDZ,Agricultural Waste Burning,0.0032012755853762552
C3H6,USA,Agricultural Waste Burning,0.004208891568265169
C3H6,CAN,Agricultural Waste Burning,0.0019312331153965017
C3H6,MEX,Agricultural Waste Burning,0.0023551045539825293
C3H6,JPN,Agricultural Waste Burning,0.0004147121565362034
C3H6,ANZ,Agricultural Waste Burning,0.0027035217339763796
C3H6,EUR,Agricultural Waste Burning,0.0035475987958300402
C3H6,ROE,Agricultural Waste Burning,0.013895321068710048
C3H6,RUS,Agricultural Waste Burning,0.045057498148618175
C3H6,ASI,Agricultural Waste Burning,0.004773612320501054
C3H6,CHN,Agricultural Waste Burning,0.021164932206557453
C3H6,IND,Agricultural Waste Burning,0.0055011852241303285
C3H6,BRA,Agricultural Waste Burning,0.008442587004383469
C3H6,AFR,Agricultural Waste Burning,0.0517277660627316
C3H6,MES,Agricultural Waste Burning,0.00026802853869480997
C3H6,LAM,Agricultural Waste Burning,0.008279113227182939
C3H6,REA,Agricultural Waste Burning,0.0073350092907037475
C3H6,KOR,Agricultural Waste Burning,0.00017847852771662082
C3H6,IDZ,Agricultural Waste Burning,0.0024187416377894036
C7H8,USA,Agricultural Waste Burning,0.0011760137927467973
C7H8,CAN,Agricultural Waste Burning,0.0005396092403223661
C7H8,MEX,Agricultural Waste Burning,0.0006580439080096877
C7H8,JPN,Agricultural Waste Burning,0.00011587545274797901
C7H8,ANZ,Agricultural Waste Burning,0.0007553957599494177
C7H8,EUR,Agricultural Waste Burning,0.0009912408179792104
C7H8,ROE,Agricultural Waste Burning,0.0038825160884621555
C7H8,RUS,Agricultural Waste Burning,0.012589594779475523
C7H8,ASI,Agricultural Waste Burning,0.001333803413537319
C7H8,CHN,Agricultural Waste Burning,0.005913730934428743
C7H8,IND,Agricultural Waste Burning,0.0015370958315769176
C7H8,BRA,Agricultural Waste Burning,0.0023589580795448464
C7H8,AFR,Agricultural Waste Burning,0.01445334607854094
C7H8,MES,Agricultural Waste Burning,7.489032582999854e-05
C7H8,LAM,Agricultural Waste Burning,0.002313281581932584
C7H8,REA,Agricultural Waste Burning,0.002049487840123237
C7H8,KOR,Agricultural Waste Burning,4.986899965834277e-05
C7H8,IDZ,Agricultural Waste Burning,0.0006758248550176887
C8H10,USA,Agricultural Waste Burning,0.0007056082853042886
C8H10,CAN,Agricultural Waste Burning,0.0003237655476350431
C8H10,MEX,Agricultural Waste Burning,0.00039482634917850054
C8H10,JPN,Agricultural Waste Burning,6.952527263442656e-05
C8H10,ANZ,Agricultural Waste Burning,0.0004532374604348708
C8H10,EUR,Agricultural Waste Burning,0.0005947444980522489
C8H10,ROE,Agricultural Waste Burning,0.002329509684431917
C8H10,RUS,Agricultural Waste Burning,0.007553756963418605
C8H10,ASI,Agricultural Waste Burning,0.0008002820590443982
C8H10,CHN,Agricultural Waste Burning,0.0035482386032674182
C8H10,IND,Agricultural Waste Burning,0.0009222575102896657
C8H10,BRA,Agricultural Waste Burning,0.001415374865120753
C8H10,AFR,Agricultural Waste Burning,0.008672007763313849
C8H10,MES,Agricultural Waste Burning,4.4934195828432524e-05
C8H10,LAM,Agricultural Waste Burning,0.0013879689685930335
C8H10,REA,Agricultural Waste Burning,0.001229692724422178
C8H10,KOR,Agricultural Waste Burning,2.9921399965482636e-05
C8H10,IDZ,Agricultural Waste Burning,0.0004054949181425963
C2H6S,USA,Agricultural Waste Burning,8.04641025777135e-06
C2H6S,CAN,Agricultural Waste Burning,3.6920632730989413e-06
C2H6S,MEX,Agricultural Waste Burning,4.502405747286414e-06
C2H6S,JPN,Agricultural Waste Burning,7.928320579289208e-07
C2H6S,ANZ,Agricultural Waste Burning,5.168497380284751e-06
C2H6S,EUR,Agricultural Waste Burning,6.782174117472611e-06
C2H6S,ROE,Agricultural Waste Burning,2.6564584209395905e-05
C2H6S,RUS,Agricultural Waste Burning,8.613933388449154e-05
C2H6S,ASI,Agricultural Waste Burning,9.12602349370403e-06
C2H6S,CHN,Agricultural Waste Burning,4.0462370129919396e-05
C2H6S,IND,Agricultural Waste Burning,1.0516971653444103e-05
C2H6S,BRA,Agricultural Waste Burning,1.6140239727092416e-05
C2H6S,AFR,Agricultural Waste Burning,9.889131679620595e-05
C2H6S,MES,Agricultural Waste Burning,5.124075005304133e-07
C2H6S,LAM,Agricultural Waste Burning,1.582771631444643e-05
C2H6S,REA,Agricultural Waste Burning,1.4022811769302645e-05
C2H6S,KOR,Agricultural Waste Burning,3.412089501157532e-07
C2H6S,IDZ,Agricultural Waste Burning,4.624064873681792e-06
HCN,USA,Agricultural Waste Burning,0.0017949683891180911
HCN,CAN,Agricultural Waste Burning,0.0008236140879150707
HCN,MEX,Agricultural Waste Burning,0.0010043827857307034
HCN,JPN,Agricultural Waste Burning,0.00017686252944654077
HCN,ANZ,Agricultural Waste Burning,0.0011529724535615847
HCN,EUR,Agricultural Waste Burning,0.0015129464820908063
HCN,ROE,Agricultural Waste Burning,0.005925945518286336
HCN,RUS,Agricultural Waste Burning,0.019215696961792404
HCN,ASI,Agricultural Waste Burning,0.0020358051758074167
HCN,CHN,Agricultural Waste Burning,0.00902622074802446
HCN,IND,Agricultural Waste Burning,0.002346093596774747
HCN,BRA,Agricultural Waste Burning,0.0036005149043730395
HCN,AFR,Agricultural Waste Burning,0.022060369965296662
HCN,MES,Agricultural Waste Burning,0.00011430628526695525
HCN,LAM,Agricultural Waste Burning,0.003530798151856185
HCN,REA,Agricultural Waste Burning,0.0031281656086844705
HCN,KOR,Agricultural Waste Burning,7.611584006615975e-05
HCN,IDZ,Agricultural Waste Burning,0.0010315221302228605
C5H8,USA,Agricultural Waste Burning,0.0023520275854935946
