MODEL,SCENARIO,REGION,VARIABLE,UNIT,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4,Mt CH4/yr,5.098269899,4.513196152,2.557070058,1.897074813,1.576919534,1.401547854,1.333128192,1.262479014,1.106224005,0.924483324
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Agricultural Waste Burning,Mt CH4/yr,0.008651275,0.008931074,0.008950595,0.008822895,0.00865922,0.007989316,0.007428076,0.006875939,0.006236882,0.005703401
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Agriculture,Mt CH4/yr,0.997660111,0.980544672,0.756504637,0.614721069,0.50915232,0.489818975,0.468392937,0.445099249,0.404440619,0.369235858
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Energy Sector,Mt CH4/yr,2.293224483,1.77094095,0.652560892,0.410031296,0.258666001,0.153254765,0.149912069,0.158923298,0.130031496,0.078142367
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Forest Burning,Mt CH4/yr,0.669388628,0.630012826,0.551261223,0.472509619,0.393758016,0.315006413,0.23625481,0.157503206,0.078751603,0
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Grassland Burning,Mt CH4/yr,3.27E-04,3.27E-04,3.27E-04,3.27E-04,3.27E-04,3.27E-04,3.27E-04,3.27E-04,3.27E-04,3.27E-04
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Industrial Sector,Mt CH4/yr,0.006920816,0.006826819,0.004966785,0.003904913,0.003055373,0.002517068,0.002152935,0.001815082,0.001572678,0.001309842
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Peat Burning,Mt CH4/yr,0.085235291,0.085235291,0.085235291,0.085235291,0.085235291,0.085235291,0.085235291,0.085235291,0.085235291,0.085235291
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Residential Commercial Other,Mt CH4/yr,0.076078675,0.078648083,0.059540626,0.055701313,0.046007436,0.044370986,0.052286919,0.053454606,0.044963059,0.037395421
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Transportation Sector,Mt CH4/yr,0.017560177,0.016936872,0.009361005,0.003028676,7.39E-04,3.66E-04,2.53E-04,2.78E-04,3.17E-04,3.50E-04
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CH4|Waste,Mt CH4/yr,0.94322353,0.934792653,0.428362092,0.242792828,0.271319469,0.302661871,0.33088565,0.352967635,0.354348361,0.346783772
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO,Mt CO/yr,20.56518613,18.63558919,14.11684272,12.19441405,10.51288152,8.944694855,7.416122792,5.893660358,4.365859671,2.805015041
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO2,Mt CO2/yr,531.2056081,445.4268424,236.6734667,65.05776472,-13.93549132,-60.89504284,-70.72332455,-100.0685622,-182.5452292,-224.9208473
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO2|Energy Sector,Mt CO2/yr,173.1791615,94.32536267,37.96698773,-20.80937792,-48.24070521,-76.16836102,-80.02806589,-106.412712,-189.171419,-240.4785725
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO2|Industrial Sector,Mt CO2/yr,99.77356298,99.22032148,51.99122631,24.74350718,8.836183349,4.645960147,2.519442693,-0.105188496,-0.593671918,-0.597338319
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO2|Residential Commercial Other,Mt CO2/yr,70.61914835,74.09685266,51.81216181,35.70977912,22.53923959,9.708741483,6.015828505,5.681890011,6.45320797,15.38860035
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO2|Solvents,Mt CO2/yr,0.736933591,0.736933591,0.736933591,0.736933591,0.736933591,0.736933591,0.736933591,0.736933591,0.736933591,0.736933591
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO2|Transportation Sector,Mt CO2/yr,186.8673024,177.0178727,94.13665796,24.64742344,2.16335805,0.152183658,0.003037241,0.001015393,2.21E-04,3.03E-05
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO2|Waste,Mt CO2/yr,0.029499304,0.029499304,0.029499304,0.029499304,0.029499304,0.029499304,0.029499304,0.029499304,0.029499304,0.029499304
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Agricultural Waste Burning,Mt CO/yr,0.151975682,0.156778301,0.156934387,0.154531313,0.151527732,0.139747752,0.129879441,0.120180044,0.108971079,0.099615761
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Energy Sector,Mt CO/yr,0.671710054,0.66634189,0.664616697,0.689024394,0.697541994,0.700915877,0.711355,0.735270711,0.77867022,0.796181842
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Forest Burning,Mt CO/yr,12.93184979,12.17115274,10.64975865,9.128364556,7.606970463,6.08557637,4.564182278,3.042788185,1.521394093,0
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Grassland Burning,Mt CO/yr,0.008261522,0.008261522,0.008261522,0.008261522,0.008261522,0.008261522,0.008261522,0.008261522,0.008261522,0.008261522
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Industrial Sector,Mt CO/yr,0.739300411,0.671152206,0.455086957,0.433837154,0.421035561,0.410557101,0.408974465,0.40065721,0.37571949,0.333780698
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Peat Burning,Mt CO/yr,1.523343609,1.523343609,1.523343609,1.523343609,1.523343609,1.523343609,1.523343609,1.523343609,1.523343609,1.523343609
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Residential Commercial Other,Mt CO/yr,2.617939175,1.852357085,0.078373935,0.071771771,0.057216706,0.051669751,0.052362032,0.044509852,0.029424617,0.02278309
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Transportation Sector,Mt CO/yr,1.916854684,1.582250634,0.57651576,0.181328533,0.043032731,0.020671672,0.013813243,0.014698024,0.01612384,0.017097318
IMAGE,SSP1-19,CAN,CMIP6 Emissions|CO|Waste,Mt CO/yr,0.003951202,0.003951202,0.003951202,0.003951202,0.003951202,0.003951202,0.003951202,0.003951202,0.003951202,0.003951202
IMAGE,SSP1-19,CAN,CMIP6 Emissions|NH3,Mt NH3/yr,1.006638379,0.988489043,0.939796229,0.897489457,0.855983437,0.813295656,0.769590588,0.726023153,0.682331149,0.638850022
IMAGE,SSP1-19,CAN,CMIP6 Emissions|NH3|Agricultural Waste Burning,Mt NH3/yr,0.003101274,0.003199278,0.003202463,0.003153425,0.003092133,0.002851746,0.00265037,0.00245244,0.002223706,0.002032797
IMAGE,SSP1-19,CAN,CMIP6 Emissions|NH3|Agriculture,Mt NH3/yr,0.652708065,0.649393627,0.630563434,0.618171505,0.606592583,0.594010993,0.580373108,0.566869408,0.553271943,0.53984753
IMAGE,SSP1-19,CAN,CMIP6 Emissions|NH3|Energy Sector,Mt NH3/yr,0.001925733,0.001925733,0.001925733,0.001925733,0.001925733,0.001925733,0.001925733,0.001925733,0.001925733,0.001925733
